name,last_name, first_name,pitcher_id,team_name,pitch_hand,avg_speed,pitches_thrown,total_pitches,pitch_type,pitch_type_name,vertical_break,horizonal_break
 Nathan Eovaldi,Eovaldi, Nathan,543135,BOS,R,90.6,175,1739,FC,Cutter,22.2,1.4
 Sonny Gray,Gray, Sonny,543243,MIN,R,83.4,171,1872,FC,Cutter,44.8,7.5
 Sean Newcomb,Newcomb, Sean,656794,CHC,L,88.3,171,552,FC,Cutter,30.4,3.5
 Taijuan Walker,Walker, Taijuan,592836,NYM,R,88.6,166,2500,FC,Cutter,23.0,1.5
 Brooks Raley,Raley, Brooks,548384,TB,L,88.0,162,846,FC,Cutter,27.9,3.5
 Bryce Elder,Elder, Bryce,693821,ATL,R,90.5,160,873,FC,Cutter,19.3,1.6
 Ian Gibaut,Gibaut, Ian,664139,CIN,R,92.4,156,694,FC,Cutter,22.5,4.1
 Craig Stammen,Stammen, Craig,489334,SD,R,87.8,155,701,FC,Cutter,27.6,1.4
 Lou Trivino,Trivino, Lou,642152,NYY,R,92.3,148,955,FC,Cutter,25.2,2.0
 Matt Bush,Bush, Matt,456713,MIL,R,92.9,145,909,FC,Cutter,22.2,2.2
 Andrew Wantz,Wantz, Andrew,681806,LAA,R,87.9,137,831,FC,Cutter,31.7,6.2
 Zach Davies,Davies, Zach,605200,AZ,R,87.6,134,2292,FC,Cutter,22.4,4.8
 Daulton Jefferies,Jefferies, Daulton,641726,OAK,R,89.6,124,611,FC,Cutter,23.4,2.8
 Josh Winckowski,Winckowski, Josh,670174,BOS,R,88.6,123,1194,FC,Cutter,29.4,3.9
 Joey Wentz,Wentz, Joey,666214,DET,L,83.4,121,555,FC,Cutter,34.7,1.7
 Luis Severino,Severino, Luis,622663,NYY,R,90.4,118,1639,FC,Cutter,28.9,4.9
 Cole Ragans,Ragans, Cole,666142,TEX,L,88.5,116,706,FC,Cutter,27.5,0.9
 Ty Blach,Blach, Ty,621389,COL,L,85.0,114,674,FC,Cutter,33.0,0.1
 Devin Smeltzer,Smeltzer, Devin,656970,MIN,L,84.8,109,1129,FC,Cutter,29.3,2.3
 David Price,Price, David,456034,LAD,L,87.9,106,596,FC,Cutter,27.7,0.0
 Mark Leiter Jr.,Leiter Jr., Mark,643410,CHC,R,87.3,106,1086,FC,Cutter,29.9,3.1
 Josh Fleming,Fleming, Josh,676596,TB,L,84.3,101,662,FC,Cutter,32.7,0.8
 Jared Koenig,Koenig, Jared,657649,OAK,L,82.9,100,653,FC,Cutter,35.5,4.2
 Yusei Kikuchi,Kikuchi, Yusei,579328,TOR,L,91.1,99,1843,FC,Cutter,21.9,0.3
 Adrian Sampson,Sampson, Adrian,592716,CHC,R,84.9,89,1694,FC,Cutter,37.7,3.3
 Chase Anderson,Anderson, Chase,502624,CIN,R,90.2,89,493,FC,Cutter,18.0,0.9
 Mike Mayers,Mayers, Mike,594577,LAA,R,88.3,74,890,FC,Cutter,27.5,1.8
 Robert Suarez,Suarez, Robert,663158,SD,R,93.6,70,801,FC,Cutter,20.6,0.8
 John King,King, John,667463,TEX,L,86.7,61,749,FC,Cutter,32.8,0.5
 Hayden Wesneski,Wesneski, Hayden,669713,CHC,R,88.7,61,495,FC,Cutter,29.0,4.0
 Lance McCullers Jr.,McCullers Jr., Lance,621121,HOU,R,88.3,59,759,FC,Cutter,29.8,3.8
 Adam Ottavino,Ottavino, Adam,493603,NYM,R,87.8,55,1057,FC,Cutter,29.4,3.4
 Ralph Garza Jr.,Garza Jr., Ralph,621248,TB,R,89.4,51,514,FC,Cutter,19.3,1.1
 Tim Hill,Hill, Tim,657612,SD,L,88.9,50,745,FC,Cutter,29.2,8.0
 José Leclerc,Leclerc, José,600917,TEX,R,89.2,47,782,FC,Cutter,30.8,5.1
 Cole Sands,Sands, Cole,663485,MIN,R,84.3,45,603,FC,Cutter,35.0,2.9
 Zack Thompson,Thompson, Zack,668868,STL,L,88.1,35,575,FC,Cutter,29.5,0.8
