name,last_name, first_name,pitcher_id,team_name,pitch_hand,avg_speed,pitches_thrown,total_pitches,pitch_type,pitch_type_name,vertical_break,horizonal_break
 Oliver Ortega,Ortega, Oliver,661383,LAA,R,82.3,223,567,CUKC,Curveball,48.5,6.3
 Freddy Peralta,Peralta, Freddy,642547,MIL,R,75.8,223,1353,CUKC,Curveball,51.2,5.6
 Noah Syndergaard,Syndergaard, Noah,592789,PHI,R,76.4,220,2026,CUKC,Curveball,47.8,11.3
 Bailey Falter,Falter, Bailey,663559,PHI,L,76.6,219,1295,CUKC,Curveball,53.4,7.6
 Kutter Crawford,Crawford, Kutter,676710,BOS,R,79.7,219,1296,CUKC,Curveball,57.5,9.2
 Jorge López,López, Jorge,605347,MIN,R,84.1,218,1161,CUKC,Curveball,50.8,9.2
 Génesis Cabrera,Cabrera, Génesis,650893,STL,L,79.3,218,736,CUKC,Curveball,53.8,9.1
 Taijuan Walker,Walker, Taijuan,592836,NYM,R,75.0,217,2500,CUKC,Curveball,60.5,7.0
 Nabil Crismatt,Crismatt, Nabil,622503,SD,R,73.2,216,1062,CUKC,Curveball,65.2,13.4
 Adrian Houser,Houser, Adrian,605288,MIL,R,81.1,216,1848,CUKC,Curveball,55.6,6.7
 Corey Knebel,Knebel, Corey,608349,PHI,R,78.7,216,795,CUKC,Curveball,62.5,10.3
 Vince Velasquez,Velasquez, Vince,592826,CWS,R,81.5,216,1286,CUKC,Curveball,50.6,4.4
 Trevor Richards,Richards, Trevor,670950,TOR,R,85.1,214,1163,CUKC,Curveball,35.7,2.0
 Cristian Javier,Javier, Cristian,664299,HOU,R,76.5,213,2554,CUKC,Curveball,56.4,13.2
 Colin Poche,Poche, Colin,621363,TB,L,78.8,210,974,CUKC,Curveball,48.7,17.7
 Michael Kopech,Kopech, Michael,656629,CWS,R,78.4,204,2011,CUKC,Curveball,51.9,8.0
 Devin Smeltzer,Smeltzer, Devin,656970,MIN,L,75.2,204,1129,CUKC,Curveball,59.0,11.6
 Max Scherzer,Scherzer, Max,453286,NYM,R,75.0,200,2167,CUKC,Curveball,58.4,16.6
 Sam Hentges,Hentges, Sam,656529,CLE,L,81.3,200,944,CUKC,Curveball,55.5,6.3
 Sam Long,Long, Sam,669674,SF,L,77.0,198,739,CUKC,Curveball,62.0,2.1
 Ranger Suárez,Suárez, Ranger,624133,PHI,L,76.5,198,2564,CUKC,Curveball,55.6,9.8
 Ross Stripling,Stripling, Ross,548389,TOR,R,76.1,195,2033,CUKC,Curveball,59.0,7.2
 Jhoulys Chacín,Chacín, Jhoulys,468504,COL,R,79.8,194,786,CUKC,Curveball,43.9,14.7
 Ryan Pressly,Pressly, Ryan,519151,HOU,R,81.0,192,711,CUKC,Curveball,56.2,14.8
 Caleb Ferguson,Ferguson, Caleb,657571,LAD,L,78.3,192,580,CUKC,Curveball,58.9,13.8
 Lance McCullers Jr.,McCullers Jr., Lance,621121,HOU,R,82.7,189,759,CUKC,Curveball,50.6,13.6
 Cory Abbott,Abbott, Cory,676265,WSH,R,84.4,188,845,CUKC,Curveball,43.9,0.9
 Manny Bañuelos,Bañuelos, Manny,544365,PIT,L,81.7,185,718,CUKC,Curveball,39.5,10.3
