name,last_name, first_name,pitcher_id,team_name,pitch_hand,avg_speed,pitches_thrown,total_pitches,pitch_type,pitch_type_name,vertical_break,horizonal_break
 Clarke Schmidt,Schmidt, Clarke,657376,NYY,R,94.9,213,930,SIFT,Sinker,23.4,14.3
 Daulton Jefferies,Jefferies, Daulton,641726,OAK,R,92.5,210,611,SIFT,Sinker,19.6,16.6
 Jackson Stephens,Stephens, Jackson,623451,ATL,R,94.0,203,944,SIFT,Sinker,21.7,15.2
 Jaime Barría,Barría, Jaime,642545,LAA,R,91.7,202,1123,SIFT,Sinker,17.1,11.4
 Drew Hutchison,Hutchison, Drew,571800,DET,R,92.7,201,1759,SIFT,Sinker,17.3,11.2
 Nick Sandlin,Sandlin, Nick,680704,CLE,R,93.5,200,740,SIFT,Sinker,28.8,15.8
 Garrett Hill,Hill, Garrett,682051,DET,R,91.7,199,1019,SIFT,Sinker,17.5,12.9
 Joe Musgrove,Musgrove, Joe,605397,SD,R,92.4,192,2834,SIFT,Sinker,22.9,12.4
 Brooks Raley,Raley, Brooks,548384,TB,L,90.7,190,846,SIFT,Sinker,29.4,16.4
 Miguel Castro,Castro, Miguel,612434,NYY,R,97.9,188,522,SIFT,Sinker,23.3,17.4
 Lance McCullers Jr.,McCullers Jr., Lance,621121,HOU,R,93.1,186,759,SIFT,Sinker,26.1,13.4
 Tyler Anderson,Anderson, Tyler,542881,LAD,L,89.0,183,2576,SIFT,Sinker,28.0,17.2
 Raisel Iglesias,Iglesias, Raisel,628452,ATL,R,94.8,182,979,SIFT,Sinker,21.0,16.9
 Robert Suarez,Suarez, Robert,663158,SD,R,97.0,178,801,SIFT,Sinker,14.7,14.0
 Trevor Williams,Williams, Trevor,592866,NYM,R,89.0,177,1407,SIFT,Sinker,30.9,15.6
 Dillon Peters,Peters, Dillon,596071,PIT,L,92.5,171,634,SIFT,Sinker,19.3,13.4
 Ralph Garza Jr.,Garza Jr., Ralph,621248,TB,R,87.8,171,514,SIFT,Sinker,36.5,16.2
 Trevor Gott,Gott, Trevor,641627,MIL,R,95.1,167,761,SIFT,Sinker,21.8,16.5
 Andre Pallante,Pallante, Andre,669467,STL,R,94.8,161,1753,SIFT,Sinker,17.9,12.7
 Dean Kremer,Kremer, Dean,665152,BAL,R,91.7,160,1947,SIFT,Sinker,20.6,16.2
 Justin Steele,Steele, Justin,657006,CHC,L,91.6,155,2032,SIFT,Sinker,20.6,9.4
 Dauri Moreta,Moreta, Dauri,664294,CIN,R,96.0,154,613,SIFT,Sinker,12.7,11.9
 Dylan Bundy,Bundy, Dylan,605164,MIN,R,89.7,153,2180,SIFT,Sinker,17.0,12.1
 Ross Stripling,Stripling, Ross,548389,TOR,R,89.9,153,2033,SIFT,Sinker,19.4,12.1
 Wily Peralta,Peralta, Wily,503449,DET,R,95.5,152,694,SIFT,Sinker,15.7,11.9
 David Price,Price, David,456034,LAD,L,92.4,150,596,SIFT,Sinker,22.2,15.1
 José Suarez,Suarez, José,660761,LAA,L,91.7,149,1783,SIFT,Sinker,22.6,15.2
 Ryan Tepera,Tepera, Ryan,572193,LAA,R,92.9,149,892,SIFT,Sinker,19.9,16.2
 A.J. Puk,Puk, A.J.,640462,OAK,L,96.1,149,1072,SIFT,Sinker,24.0,17.8
 Manny Bañuelos,Bañuelos, Manny,544365,PIT,L,93.4,149,718,SIFT,Sinker,23.6,16.1
 Brad Hand,Hand, Brad,543272,PHI,L,92.4,147,817,SIFT,Sinker,21.8,17.1
 Yimi Garcia,Garcia, Yimi,554340,TOR,R,93.8,146,1039,SIFT,Sinker,25.2,17.7
 Cionel Pérez,Pérez, Cionel,672335,BAL,L,96.5,143,901,SIFT,Sinker,20.4,15.1
 David Phelps,Phelps, David,475479,TOR,R,93.2,141,1151,SIFT,Sinker,18.1,15.5
 Michael Fulmer,Fulmer, Michael,605242,MIN,R,94.5,138,1043,SIFT,Sinker,20.2,15.0
 Edward Cabrera,Cabrera, Edward,665795,MIA,R,95.8,135,1215,SIFT,Sinker,17.2,15.5
 Matthew Liberatore,Liberatore, Matthew,669461,STL,L,92.8,133,650,SIFT,Sinker,18.7,13.1
 Domingo Germán,Germán, Domingo,593334,NYY,R,92.7,132,1081,SIFT,Sinker,22.8,17.5
 Génesis Cabrera,Cabrera, Génesis,650893,STL,L,95.9,129,736,SIFT,Sinker,15.6,14.6
 Adam Oller,Oller, Adam,670124,OAK,R,93.6,127,1294,SIFT,Sinker,17.1,15.1
 James Kaprielian,Kaprielian, James,621076,OAK,R,94.4,122,2230,SIFT,Sinker,20.3,15.8
 Mitch White,White, Mitch,669952,TOR,R,94.2,119,1715,SIFT,Sinker,16.8,13.1
 Seth Martinez,Martinez, Seth,661527,HOU,R,90.9,114,592,SIFT,Sinker,30.1,14.9
 Bruce Zimmermann,Zimmermann, Bruce,669145,BAL,L,90.5,114,1130,SIFT,Sinker,23.3,14.4
 Ryan Brasier,Brasier, Ryan,518489,BOS,R,96.1,114,985,SIFT,Sinker,18.7,15.7
 Anthony Banda,Banda, Anthony,607455,NYY,L,93.0,114,551,SIFT,Sinker,22.8,17.6
 Wyatt Mills,Mills, Wyatt,670090,KC,R,91.3,112,503,SIFT,Sinker,32.1,15.0
 Rony García,García, Rony,665621,DET,R,92.5,112,885,SIFT,Sinker,24.6,17.0
 Hayden Wesneski,Wesneski, Hayden,669713,CHC,R,92.0,111,495,SIFT,Sinker,25.7,16.9
 Matt Strahm,Strahm, Matt,621381,BOS,L,94.0,111,764,SIFT,Sinker,19.6,17.5
 Packy Naughton,Naughton, Packy,676050,STL,L,92.6,107,562,SIFT,Sinker,21.1,15.3
 Tyler Duffey,Duffey, Tyler,608648,MIN,R,92.4,106,741,SIFT,Sinker,24.5,14.2
 Vince Velasquez,Velasquez, Vince,592826,CWS,R,91.9,103,1286,SIFT,Sinker,18.5,12.3
 Josh Staumont,Staumont, Josh,622251,KC,R,97.1,103,731,SIFT,Sinker,12.2,9.0
 Tyler Gilbert,Gilbert, Tyler,656457,AZ,L,89.7,103,564,SIFT,Sinker,22.0,14.1
 Keegan Thompson,Thompson, Keegan,624522,CHC,R,92.8,97,1878,SIFT,Sinker,18.9,12.5
 Beau Brieske,Brieske, Beau,689225,DET,R,93.6,92,1287,SIFT,Sinker,17.1,13.3
 Evan Phillips,Phillips, Evan,623465,LAD,R,96.2,92,923,SIFT,Sinker,21.1,15.1
 Daniel Norris,Norris, Daniel,596057,DET,L,90.9,79,1012,SIFT,Sinker,22.7,15.7
 Hunter Strickland,Strickland, Hunter,519326,CIN,R,94.3,79,1099,SIFT,Sinker,20.6,12.7
 Elieser Hernandez,Hernandez, Elieser,622694,MIA,R,92.0,79,1095,SIFT,Sinker,18.6,13.6
 Penn Murfee,Murfee, Penn,682171,SEA,R,88.9,79,1003,SIFT,Sinker,33.1,10.7
 Chris Martin,Martin, Chris,455119,LAD,R,94.6,76,858,SIFT,Sinker,19.7,14.3
 Matt Manning,Manning, Matt,666159,DET,R,92.8,75,990,SIFT,Sinker,17.3,9.8
 Phil Maton,Maton, Phil,664208,HOU,R,90.2,71,1089,SIFT,Sinker,24.7,15.2
 J.B. Wendelken,Wendelken, J.B.,605525,AZ,R,94.4,66,488,SIFT,Sinker,21.8,16.3
 Bryan Shaw,Shaw, Bryan,543766,CLE,R,92.4,63,969,SIFT,Sinker,24.0,8.7
 Huascar Brazoban,Brazoban, Huascar,623211,MIA,R,96.7,61,631,SIFT,Sinker,20.2,17.0
 Nabil Crismatt,Crismatt, Nabil,622503,SD,R,90.0,61,1062,SIFT,Sinker,25.5,15.8
 Brent Suter,Suter, Brent,608718,MIL,L,87.4,60,1070,SIFT,Sinker,23.3,10.3
 Chase Anderson,Anderson, Chase,502624,CIN,R,92.5,56,493,SIFT,Sinker,16.5,11.9
