name,last_name, first_name,pitcher_id,team_name,pitch_hand,avg_speed,pitches_thrown,total_pitches,pitch_type,pitch_type_name,vertical_break,horizonal_break
 Ryan Brasier,Brasier, Ryan,518489,BOS,R,85.5,423,985,SL,Slider,38.0,6.4
 Hunter Strickland,Strickland, Hunter,519326,CIN,R,84.8,417,1099,SL,Slider,39.4,8.5
 Jake Diekman,Diekman, Jake,518617,CWS,L,81.4,411,1172,SL,Slider,40.3,16.0
 Antonio Senzatela,Senzatela, Antonio,622608,COL,R,86.1,410,1521,SL,Slider,34.3,4.9
 A.J. Puk,Puk, A.J.,640462,OAK,L,86.9,409,1072,SL,Slider,35.2,3.3
 Evan Phillips,Phillips, Evan,623465,LAD,R,85.3,408,923,SL,Slider,36.2,15.3
 Daniel Bard,Bard, Daniel,453268,COL,R,88.4,407,953,SL,Slider,32.6,7.5
 Taijuan Walker,Walker, Taijuan,592836,NYM,R,84.8,407,2500,SL,Slider,32.6,5.3
 Sam Moll,Moll, Sam,594580,OAK,L,81.7,404,737,SL,Slider,44.0,17.4
 Kevin Gausman,Gausman, Kevin,592332,TOR,R,84.4,404,2783,SL,Slider,35.1,1.1
 Tucker Davidson,Davidson, Tucker,656353,LAA,L,86.6,402,912,SL,Slider,37.1,5.9
 Dennis Santana,Santana, Dennis,642701,TEX,R,85.8,401,991,SL,Slider,39.4,1.7
 Paolo Espino,Espino, Paolo,502179,WSH,R,77.7,401,1873,SL,Slider,44.2,18.7
 Andrew Heaney,Heaney, Andrew,571760,LAD,L,83.4,398,1230,SL,Slider,38.2,3.6
 Mike Clevinger,Clevinger, Mike,605182,SD,R,79.9,397,1931,SL,Slider,44.6,15.6
 José Ureña,Ureña, José,570632,COL,R,86.8,396,1622,SL,Slider,30.4,1.5
 Johan Oviedo,Oviedo, Johan,670912,PIT,R,85.7,395,980,SL,Slider,35.6,5.8
 Elieser Hernandez,Hernandez, Elieser,622694,MIA,R,80.1,395,1095,SL,Slider,30.5,8.2
 Johnny Cueto,Cueto, Johnny,456501,CWS,R,83.5,391,2372,SL,Slider,33.7,2.7
 Zach Jackson,Jackson, Zach,667427,OAK,R,85.2,389,887,SL,Slider,40.1,0.5
 Matt Swarmer,Swarmer, Matt,664161,CHC,R,82.1,388,657,SL,Slider,37.5,7.3
 John Schreiber,Schreiber, John,670167,BOS,R,82.1,385,1020,SL,Slider,36.6,13.0
 Art Warren,Warren, Art,605521,CIN,R,85.5,382,655,SL,Slider,36.4,8.2
 Ryan Tepera,Tepera, Ryan,572193,LAA,R,85.2,381,892,SL,Slider,34.0,5.8
 Shane McClanahan,McClanahan, Shane,663556,TB,L,89.3,381,2463,SL,Slider,30.6,3.6
 Kyle Nelson,Nelson, Kyle,669459,AZ,L,84.3,377,593,SL,Slider,38.2,6.2
 Tanner Houck,Houck, Tanner,656557,BOS,R,85.4,375,918,SL,Slider,37.0,11.1
 Josh Winder,Winder, Josh,680739,MIN,R,84.3,371,1114,SL,Slider,37.1,1.0
 Adam Cimber,Cimber, Adam,643256,TOR,R,77.8,369,1044,SL,Slider,37.5,7.4
 Jacob deGrom,deGrom, Jacob,594798,NYM,R,92.6,369,940,SL,Slider,26.4,3.6
 Steven Wilson,Wilson, Steven,621051,SD,R,82.2,369,874,SL,Slider,38.8,11.1
 Dylan Lee,Lee, Dylan,669276,ATL,L,83.8,360,754,SL,Slider,34.4,3.2
