name,avg_speed_FF,vertical_break_FF,horizonal_break_FF,avg_speed_SIFT,vertical_break_SIFT,horizonal_break_SIFT,avg_speed_CT,vertical_break_CT,horizonal_break_CT,avg_speed_CB,vertical_break_CB,horizonal_break_CB,avg_speed_SL,vertical_break_SL,horizonal_break_SL,avg_speed_CH,vertical_break_CH,horizonal_break_CH,kmeans
 Noé Ramirez,89.8,22.6,10.4,0.0,0.0,0.0,0.0,0.0,0.0,78.0,46.2,9.8,0.0,0.0,0.0,84.1,43.4,14.3,4
 Cole Ragans,92.1,14.0,10.7,0.0,0.0,0.0,88.5,27.5,0.9,76.3,62.3,11.2,0.0,0.0,0.0,82.1,26.7,16.2,0
 Zack Thompson,94.8,14.5,7.9,0.0,0.0,0.0,88.1,29.5,0.8,75.0,67.4,7.8,0.0,0.0,0.0,87.7,26.1,12.3,0
 Seth Lugo,94.4,13.4,8.3,94.4,18.3,15.6,0.0,0.0,0.0,79.8,60.8,10.7,88.9,27.7,2.7,0.0,0.0,0.0,9
 Steven Okert,93.7,16.5,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,35.9,10.2,0.0,0.0,0.0,5
 Seranthony Domínguez,97.6,14.8,3.1,98.2,18.9,15.3,0.0,0.0,0.0,0.0,0.0,0.0,89.5,30.7,5.1,0.0,0.0,0.0,7
 Raisel Iglesias,95.0,14.4,9.8,94.8,21.0,16.9,0.0,0.0,0.0,0.0,0.0,0.0,84.1,32.7,8.4,88.7,31.2,16.8,3
 Cole Sulser,91.9,14.5,7.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,31.9,6.7,83.2,33.9,14.7,1
 Joey Wentz,92.4,15.6,11.9,0.0,0.0,0.0,83.4,34.7,1.7,75.4,58.8,8.6,0.0,0.0,0.0,84.1,27.0,15.0,0
 Andres Machado,95.6,13.6,7.0,95.0,18.7,15.4,0.0,0.0,0.0,0.0,0.0,0.0,87.1,32.6,5.1,88.9,29.4,11.6,3
 Dominic Leone,95.6,14.4,6.1,0.0,0.0,0.0,91.4,24.7,3.5,0.0,0.0,0.0,85.1,40.5,5.1,0.0,0.0,0.0,5
 Shawn Armstrong,95.3,14.2,5.2,95.6,18.6,15.5,92.3,23.9,4.7,0.0,0.0,0.0,86.1,38.9,10.1,0.0,0.0,0.0,7
 Cole Sands,91.6,20.2,8.8,0.0,0.0,0.0,84.3,35.0,2.9,78.6,48.8,18.1,0.0,0.0,0.0,0.0,0.0,0.0,0
 Jason Adam,94.8,13.0,6.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.3,43.3,13.1,90.0,31.8,16.4,1
 Noah Syndergaard,94.1,16.7,5.8,93.6,20.8,14.1,0.0,0.0,0.0,76.4,47.8,11.3,84.8,36.7,5.8,88.5,26.8,15.1,2
 Ian Gibaut,95.8,12.5,4.7,0.0,0.0,0.0,92.4,22.5,4.1,0.0,0.0,0.0,85.2,35.2,9.1,85.9,29.4,14.9,1
 John Schreiber,94.5,21.5,10.3,93.4,34.3,15.5,0.0,0.0,0.0,0.0,0.0,0.0,82.1,36.6,13.0,88.5,37.6,15.6,3
 Domingo Germán,92.7,15.7,11.0,92.7,22.8,17.5,0.0,0.0,0.0,81.0,45.0,1.3,0.0,0.0,0.0,85.9,28.5,17.9,6
