,name,pitcher_id,pitch_hand,avg_speed_FF,pitch_type_FF,vertical_break_FF,horizonal_break_FF,avg_speed_SIFT,pitch_type_SIFT,vertical_break_SIFT,horizonal_break_SIFT,avg_speed_CT,pitch_type_CT,vertical_break_CT,horizonal_break_CT,avg_speed_CB,pitch_type_CB,vertical_break_CB,horizonal_break_CB,avg_speed_SL,pitch_type_SL,vertical_break_SL,horizonal_break_SL,avg_speed_CH,pitch_type_CH,vertical_break_CH,horizonal_break_CH
107, Nathan Eovaldi,543135,R,95.7,FF,15.5,12.3,0.0,0,0.0,0.0,90.6,FC,22.2,1.4,78.3,CUKC,54.2,9.7,85.9,SL,33.8,6.6,0.0,0,0.0,0.0
108, Bryan Baker,641329,R,96.2,FF,11.8,2.4,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,87.3,SL,33.1,7.4,84.0,CH,28.0,14.3
109, Frankie Montas,593423,R,96.1,FF,12.8,6.3,95.6,SIFT,18.4,15.5,89.5,FC,27.8,4.0,0.0,0,0.0,0.0,87.2,SL,32.9,6.2,0.0,0,0.0,0.0
110, Tyler Wells,669330,R,93.5,FF,11.6,5.9,0.0,0,0.0,0.0,0.0,0,0.0,0.0,76.3,CUKC,58.2,9.3,87.5,SL,28.0,4.9,86.7,CH,23.2,14.9
111, Konnor Pilkington,663455,L,92.1,FF,16.0,9.4,0.0,0,0.0,0.0,0.0,0,0.0,0.0,77.0,CUKC,57.3,6.3,81.9,SL,41.1,1.9,84.4,CH,30.1,14.3
112, Kyle Freeland,607536,L,90.3,FF,19.9,5.9,89.6,SIFT,27.5,13.0,0.0,0,0.0,0.0,80.9,CUKC,48.5,4.3,85.5,SL,32.6,1.4,84.8,CH,30.6,10.9
113, Dean Kremer,665152,R,93.5,FF,14.9,8.9,91.7,SIFT,20.6,16.2,88.0,FC,27.1,4.7,76.5,CUKC,62.2,11.1,0.0,0,0.0,0.0,83.8,CH,37.8,15.1
114, Michael Wacha,608379,R,93.0,FF,12.4,6.7,92.6,SIFT,15.3,11.7,88.8,FC,23.4,1.2,74.7,CUKC,58.8,10.3,0.0,0,0.0,0.0,84.3,CH,26.2,12.5
115, Chris Archer,502042,R,93.0,FF,13.1,6.4,0.0,0,0.0,0.0,0.0,0,0.0,0.0,81.7,CUKC,46.6,5.0,88.7,SL,30.5,5.2,87.0,CH,26.9,13.0
116, Rowan Wick,592858,R,94.9,FF,12.7,2.8,0.0,0,0.0,0.0,93.1,FC,16.9,2.5,76.8,CUKC,65.6,7.5,82.2,SL,37.5,11.8,0.0,0,0.0,0.0
117, Keegan Akin,669211,L,93.5,FF,13.5,10.7,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,85.3,SL,36.3,5.1,84.2,CH,30.0,16.0
118, Spenser Watkins,657093,R,91.4,FF,16.2,1.2,0.0,0,0.0,0.0,87.1,FC,28.5,6.0,76.8,CUKC,60.7,5.7,78.4,SL,47.1,13.9,0.0,0,0.0,0.0
119, JP Sears,676664,L,93.2,FF,17.9,12.1,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,79.2,SL,47.2,7.0,82.7,CH,36.8,18.1
120, José Suarez,660761,L,92.7,FF,16.4,9.5,91.7,SIFT,22.6,15.2,0.0,0,0.0,0.0,78.0,CUKC,51.8,10.5,81.7,SL,36.4,9.1,82.4,CH,35.4,12.7
